                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9284,                 6.2783,                 2.3183,                0.48389,                 0.4239,                0.37593,                0.11862,                 4.7746,                 5.8566,                 2.0077,              0.0033279,              0.0033279,              0.0033279
                      2,                 4.8449,                 3.9639,                 2.2381,                0.40226,                0.36338,                  0.273,                0.08521,                 5.2901,                  3.796,                  2.153,              0.0065953,              0.0065953,              0.0065953
                      3,                 5.0634,                 4.1859,                  2.338,                 0.3404,                0.35355,                0.26149,                0.08301,                 5.2618,                 5.1708,                 2.1875,              0.0097966,              0.0097966,              0.0097966
                      4,                 5.0242,                 4.1463,                 2.3808,                0.43679,                0.32634,                0.29398,                0.08604,                 5.1216,                 3.8932,                 2.1912,               0.009703,               0.009703,               0.009703
                      5,                 4.8839,                 3.9202,                 2.3301,                0.50367,                0.44026,                0.38514,                0.12455,                 4.8427,                  3.769,                 2.1002,               0.009604,               0.009604,               0.009604
                      6,                 4.8093,                 3.7657,                 2.2847,                0.52323,                0.44148,                0.39603,                0.12436,                 4.8831,                 3.6024,                 2.1022,               0.009505,               0.009505,               0.009505
                      7,                 4.7186,                  3.646,                 2.2426,                0.52541,                0.45724,                0.42353,                0.14853,                 4.7112,                 3.4231,                 2.0221,               0.009406,               0.009406,               0.009406
                      8,                 4.6085,                 3.5413,                 2.2157,                 0.5498,                0.46434,                0.46566,                0.16942,                 4.5587,                 3.1007,                 2.0475,               0.009307,               0.009307,               0.009307
                      9,                 4.5543,                 3.4724,                 2.2078,                0.55302,                0.52025,                0.48186,                0.17723,                 4.4709,                 3.1965,                 2.0055,               0.009208,               0.009208,               0.009208
                     10,                  4.548,                 3.3958,                 2.2098,                0.58342,                0.48935,                0.48261,                0.18113,                 4.4766,                 3.0096,                 1.9897,               0.009109,               0.009109,               0.009109
                     11,                 4.4891,                 3.3291,                 2.1912,                0.50817,                0.44551,                0.40105,                0.14185,                 4.7262,                 3.7252,                 2.0735,                0.00901,                0.00901,                0.00901
                     12,                 4.4958,                 3.3357,                 2.1787,                0.59048,                0.50571,                0.51061,                0.19185,                  4.457,                 2.8634,                 2.0054,               0.008911,               0.008911,               0.008911
                     13,                  4.415,                 3.2518,                 2.1632,                0.61796,                0.51003,                0.51376,                0.19106,                 4.4255,                 2.8678,                 1.9882,               0.008812,               0.008812,               0.008812
                     14,                 4.3882,                 3.2159,                 2.1639,                0.63147,                0.50362,                0.53314,                0.20204,                 4.3375,                 2.8518,                 1.9721,               0.008713,               0.008713,               0.008713
                     15,                 4.3841,                 3.1891,                 2.1444,                0.57628,                0.48287,                0.50139,                0.18795,                 4.3591,                 2.8202,                 1.9694,               0.008614,               0.008614,               0.008614
                     16,                 4.3417,                 3.1589,                 2.1469,                0.62077,                0.49336,                0.53133,                0.20531,                  4.322,                 2.7546,                   1.97,               0.008515,               0.008515,               0.008515
                     17,                 4.3361,                  3.111,                 2.1415,                0.59931,                0.51374,                0.53142,                0.20302,                 4.2945,                 2.7582,                 1.9683,               0.008416,               0.008416,               0.008416
                     18,                 4.3045,                  3.081,                 2.1239,                0.61134,                0.52516,                0.53743,                0.20815,                 4.2408,                 2.8424,                 1.9535,               0.008317,               0.008317,               0.008317
                     19,                 4.2775,                 3.0678,                  2.111,                0.63138,                0.54468,                0.55688,                0.22606,                 4.1353,                 2.6702,                 1.9299,               0.008218,               0.008218,               0.008218
                     20,                 4.2692,                 3.0489,                 2.1185,                0.63101,                0.52585,                0.54337,                0.21266,                 4.2225,                 2.7923,                 1.9429,               0.008119,               0.008119,               0.008119
                     21,                 4.2105,                 2.9825,                  2.109,                0.65935,                0.53662,                0.56564,                0.22092,                 4.1504,                 2.7077,                 1.9335,                0.00802,                0.00802,                0.00802
                     22,                 4.2248,                 2.9955,                 2.1024,                0.61379,                0.55048,                 0.5587,                0.21915,                 4.2467,                 2.7376,                 1.9574,               0.007921,               0.007921,               0.007921
                     23,                 4.2413,                 2.9733,                 2.1061,                0.64703,                0.53319,                0.57786,                 0.2372,                 4.0481,                 2.6078,                 1.9147,               0.007822,               0.007822,               0.007822
                     24,                 4.1801,                 2.9158,                 2.0842,                0.64069,                0.54153,                0.57467,                0.23353,                 4.1446,                  2.706,                 1.9417,               0.007723,               0.007723,               0.007723
                     25,                 4.1715,                 2.9229,                 2.0898,                0.64373,                0.55264,                0.57287,                0.22965,                 4.1109,                 2.5779,                 1.9239,               0.007624,               0.007624,               0.007624
                     26,                 4.1684,                 2.8883,                 2.0795,                0.64548,                0.54029,                0.56792,                0.24133,                 4.0369,                 2.5799,                 1.9147,               0.007525,               0.007525,               0.007525
                     27,                 4.1665,                 2.8642,                 2.0808,                0.63865,                0.55048,                0.58602,                0.24443,                 4.0235,                 2.5394,                 1.9205,               0.007426,               0.007426,               0.007426
                     28,                 4.1242,                 2.8773,                 2.0768,                0.61725,                0.54708,                0.58238,                0.24878,                 4.0089,                 2.4733,                 1.9225,               0.007327,               0.007327,               0.007327
                     29,                 4.1076,                 2.8003,                 2.0648,                0.64517,                0.54307,                0.58218,                0.24585,                 4.0337,                 2.5243,                 1.9106,               0.007228,               0.007228,               0.007228
                     30,                 4.1168,                 2.8106,                 2.0665,                0.65871,                0.55954,                0.60657,                0.25678,                 3.9532,                 2.4376,                 1.9129,               0.007129,               0.007129,               0.007129
                     31,                 4.1056,                 2.8021,                 2.0637,                 0.6513,                 0.5548,                0.59734,                0.24992,                 3.9717,                 2.4651,                 1.8942,                0.00703,                0.00703,                0.00703
                     32,                 4.0866,                 2.8137,                  2.062,                0.68448,                0.56662,                0.62513,                0.26742,                 3.9304,                 2.4192,                 1.9021,               0.006931,               0.006931,               0.006931
                     33,                  4.077,                 2.7877,                 2.0568,                0.68043,                0.55912,                0.61551,                0.25763,                 3.9463,                 2.5345,                 1.9003,               0.006832,               0.006832,               0.006832
                     34,                 4.0493,                 2.7576,                 2.0603,                 0.6725,                0.56746,                0.61806,                0.26343,                 3.9125,                 2.4638,                 1.9026,               0.006733,               0.006733,               0.006733
                     35,                 4.0273,                 2.7172,                 2.0496,                0.65931,                0.57086,                0.61594,                0.26668,                 3.8819,                 2.3557,                 1.8866,               0.006634,               0.006634,               0.006634
                     36,                 4.0191,                 2.6921,                 2.0413,                0.68781,                0.56728,                0.62149,                0.26989,                 3.9034,                 2.3722,                  1.887,               0.006535,               0.006535,               0.006535
                     37,                 3.9948,                 2.6949,                 2.0467,                0.67819,                0.57209,                0.62781,                0.26904,                 3.8909,                 2.3621,                 1.8808,               0.006436,               0.006436,               0.006436
                     38,                 3.9855,                 2.6535,                 2.0396,                0.67037,                0.57116,                0.61954,                0.26922,                 3.8636,                 2.3568,                 1.8813,               0.006337,               0.006337,               0.006337
                     39,                 3.9912,                  2.694,                 2.0356,                0.68215,                0.56993,                0.62791,                0.27007,                 3.8929,                 2.3908,                 1.8897,               0.006238,               0.006238,               0.006238
                     40,                 3.9836,                 2.6856,                 2.0418,                0.66781,                0.57765,                0.63025,                0.27726,                 3.8749,                 2.3327,                  1.888,               0.006139,               0.006139,               0.006139
                     41,                 3.9816,                 2.6271,                 2.0284,                0.69436,                0.58537,                0.64429,                0.28253,                 3.8472,                 2.3119,                 1.8865,                0.00604,                0.00604,                0.00604
                     42,                 3.9732,                  2.605,                 2.0271,                0.70913,                0.58786,                0.64983,                0.28175,                 3.8635,                 2.2858,                 1.8854,               0.005941,               0.005941,               0.005941
                     43,                  3.918,                 2.6026,                 2.0309,                0.68709,                0.58235,                0.64563,                0.28445,                 3.8297,                 2.2817,                 1.8831,               0.005842,               0.005842,               0.005842
                     44,                   3.95,                 2.5829,                 2.0175,                0.69484,                0.59308,                0.64761,                0.28419,                 3.8406,                 2.2833,                 1.8754,               0.005743,               0.005743,               0.005743
                     45,                 3.9131,                 2.5688,                  2.019,                 0.6855,                0.59031,                0.64591,                0.29225,                 3.7904,                 2.2506,                 1.8679,               0.005644,               0.005644,               0.005644
                     46,                 3.9214,                 2.5675,                 2.0221,                0.69759,                0.58135,                0.64449,                0.29039,                 3.7643,                 2.2432,                 1.8761,               0.005545,               0.005545,               0.005545
                     47,                 3.9003,                 2.5286,                 2.0077,                0.70138,                0.57888,                0.65161,                0.29146,                 3.8045,                 2.2304,                  1.871,               0.005446,               0.005446,               0.005446
                     48,                 3.8977,                 2.5285,                 2.0098,                0.69735,                0.60039,                 0.6546,                0.29426,                 3.7767,                 2.2066,                 1.8685,               0.005347,               0.005347,               0.005347
                     49,                 3.8689,                  2.486,                 2.0015,                0.69814,                0.59908,                0.65699,                0.29375,                  3.802,                 2.2284,                 1.8765,               0.005248,               0.005248,               0.005248
                     50,                 3.8854,                 2.4933,                 2.0035,                0.72386,                0.58043,                0.65653,                0.29632,                 3.7793,                 2.1936,                  1.872,               0.005149,               0.005149,               0.005149
                     51,                  3.862,                 2.4625,                 1.9943,                0.71582,                0.58876,                0.65994,                0.29754,                   3.79,                 2.2073,                   1.87,                0.00505,                0.00505,                0.00505
                     52,                 3.8607,                 2.4649,                 1.9881,                 0.7183,                0.58965,                0.66596,                0.30055,                 3.7816,                 2.2056,                 1.8794,               0.004951,               0.004951,               0.004951
                     53,                 3.8551,                 2.4772,                 1.9873,                  0.708,                0.58969,                0.66279,                0.30038,                 3.7464,                 2.1943,                 1.8753,               0.004852,               0.004852,               0.004852
                     54,                 3.8224,                 2.4436,                 1.9883,                0.71571,                0.59692,                0.66742,                0.30007,                 3.7632,                 2.1648,                 1.8678,               0.004753,               0.004753,               0.004753
                     55,                 3.8115,                 2.4445,                 1.9912,                0.71603,                0.59339,                0.66632,                0.30264,                 3.7564,                 2.1622,                 1.8681,               0.004654,               0.004654,               0.004654
                     56,                 3.7938,                 2.4168,                 1.9871,                0.72457,                0.59696,                0.66855,                0.30318,                 3.7591,                 2.1875,                 1.8685,               0.004555,               0.004555,               0.004555
                     57,                 3.8086,                  2.401,                 1.9887,                 0.7162,                0.60384,                0.66891,                 0.3043,                 3.7347,                 2.1703,                  1.862,               0.004456,               0.004456,               0.004456
                     58,                 3.7514,                 2.3546,                 1.9811,                0.72777,                0.59772,                0.67211,                0.30756,                 3.7237,                 2.1452,                 1.8653,               0.004357,               0.004357,               0.004357
                     59,                 3.7533,                 2.3693,                 1.9747,                0.71525,                0.60019,                0.66865,                0.30818,                  3.726,                 2.1453,                 1.8594,               0.004258,               0.004258,               0.004258
                     60,                 3.7522,                 2.3464,                 1.9674,                0.72237,                0.59679,                0.67001,                0.30863,                 3.7271,                 2.1555,                 1.8576,               0.004159,               0.004159,               0.004159
                     61,                 3.7521,                 2.3128,                 1.9577,                0.71574,                 0.6079,                0.67259,                0.31057,                   3.74,                  2.141,                 1.8641,                0.00406,                0.00406,                0.00406
                     62,                 3.7417,                 2.3156,                 1.9711,                0.72356,                0.60283,                0.67313,                0.30885,                 3.7393,                 2.1468,                 1.8688,               0.003961,               0.003961,               0.003961
                     63,                 3.7398,                 2.3207,                 1.9728,                0.72047,                0.60574,                0.67268,                0.30986,                 3.7256,                 2.1478,                 1.8653,               0.003862,               0.003862,               0.003862
                     64,                 3.7539,                 2.3047,                 1.9608,                0.73365,                0.61161,                0.67779,                0.31384,                  3.716,                 2.1213,                  1.866,               0.003763,               0.003763,               0.003763
                     65,                 3.6943,                 2.2766,                 1.9534,                0.72981,                0.61711,                0.68402,                0.31489,                 3.7295,                  2.106,                 1.8651,               0.003664,               0.003664,               0.003664
                     66,                 3.7011,                 2.2892,                 1.9626,                   0.74,                0.61439,                0.68639,                0.31486,                 3.7211,                 2.1109,                 1.8635,               0.003565,               0.003565,               0.003565
                     67,                 3.7009,                 2.2559,                  1.955,                0.72917,                0.61006,                0.68002,                0.31307,                 3.7293,                 2.1007,                 1.8617,               0.003466,               0.003466,               0.003466
                     68,                 3.6703,                  2.234,                 1.9489,                 0.7215,                0.61267,                0.68011,                0.31197,                 3.7206,                 2.0869,                  1.862,               0.003367,               0.003367,               0.003367
                     69,                 3.6396,                 2.2066,                 1.9413,                0.72322,                0.61068,                0.68173,                0.31416,                 3.7328,                 2.0931,                 1.8607,               0.003268,               0.003268,               0.003268
                     70,                 3.6581,                  2.214,                 1.9443,                0.72826,                 0.6131,                0.68107,                0.31479,                 3.7269,                 2.0944,                 1.8645,               0.003169,               0.003169,               0.003169
                     71,                 3.6252,                 2.1674,                 1.9305,                0.73272,                  0.617,                0.68424,                0.31595,                 3.7209,                 2.0756,                  1.867,                0.00307,                0.00307,                0.00307
                     72,                  3.625,                  2.149,                  1.927,                0.73748,                0.61161,                0.68221,                0.31653,                 3.7125,                 2.0867,                 1.8652,               0.002971,               0.002971,               0.002971
                     73,                 3.6142,                 2.1583,                 1.9304,                0.73181,                0.61223,                 0.6819,                0.31842,                 3.7035,                 2.0934,                 1.8624,               0.002872,               0.002872,               0.002872
                     74,                 3.6149,                 2.1467,                 1.9314,                0.72059,                0.62396,                0.68355,                0.31876,                 3.7103,                 2.0746,                 1.8634,               0.002773,               0.002773,               0.002773
                     75,                 3.5697,                  2.112,                 1.9349,                0.72979,                0.61778,                0.68518,                0.31908,                 3.7048,                 2.0669,                 1.8626,               0.002674,               0.002674,               0.002674
                     76,                 3.5798,                 2.0966,                 1.9216,                0.73333,                0.61044,                0.68331,                0.32057,                 3.6971,                 2.0695,                 1.8605,               0.002575,               0.002575,               0.002575
                     77,                 3.5615,                 2.0981,                 1.9217,                0.73532,                0.60945,                0.68293,                0.32182,                 3.7006,                 2.0657,                 1.8611,               0.002476,               0.002476,               0.002476
                     78,                 3.5543,                 2.0708,                 1.9135,                0.72124,                0.61809,                0.68293,                0.32311,                 3.6973,                 2.0627,                 1.8634,               0.002377,               0.002377,               0.002377
                     79,                 3.5513,                 2.0707,                 1.9101,                0.73877,                0.60883,                0.68494,                0.32342,                 3.7066,                 2.0497,                 1.8651,               0.002278,               0.002278,               0.002278
                     80,                 3.5316,                 2.0607,                 1.9056,                0.73163,                 0.6184,                 0.6851,                0.32516,                 3.7104,                 2.0466,                 1.8662,               0.002179,               0.002179,               0.002179
                     81,                 3.5287,                 2.0532,                 1.9039,                0.73816,                0.61377,                0.68657,                 0.3256,                 3.7199,                 2.0475,                 1.8667,                0.00208,                0.00208,                0.00208
                     82,                 3.5013,                 2.0497,                  1.911,                0.73599,                0.61711,                0.68701,                0.32566,                 3.7214,                 2.0478,                 1.8679,               0.001981,               0.001981,               0.001981
                     83,                  3.495,                 1.9956,                 1.8971,                0.73614,                0.62025,                0.68985,                0.32601,                 3.7327,                 2.0314,                 1.8714,               0.001882,               0.001882,               0.001882
                     84,                 3.4999,                 2.0037,                 1.9002,                0.73737,                0.61804,                0.69091,                0.32622,                  3.727,                 2.0246,                 1.8694,               0.001783,               0.001783,               0.001783
                     85,                 3.4727,                 1.9935,                 1.8959,                0.74125,                0.61734,                0.69079,                0.32693,                 3.7125,                 2.0312,                 1.8667,               0.001684,               0.001684,               0.001684
                     86,                 3.4617,                 1.9686,                 1.8934,                0.74364,                0.61796,                0.69109,                0.32713,                 3.7071,                 2.0298,                 1.8645,               0.001585,               0.001585,               0.001585
                     87,                  3.443,                  1.974,                 1.8968,                0.74327,                0.62025,                0.69218,                0.32849,                 3.7003,                 2.0221,                 1.8633,               0.001486,               0.001486,               0.001486
                     88,                 3.4306,                 1.9336,                 1.8925,                0.74206,                0.62174,                0.69173,                0.32883,                 3.6942,                 2.0209,                 1.8629,               0.001387,               0.001387,               0.001387
                     89,                 3.4351,                  1.931,                 1.8878,                0.74409,                0.62519,                0.69499,                0.33039,                  3.691,                 2.0204,                 1.8627,               0.001288,               0.001288,               0.001288
                     90,                   3.41,                 1.9183,                  1.884,                0.74459,                0.62334,                 0.6949,                0.33146,                 3.6902,                 2.0214,                 1.8636,               0.001189,               0.001189,               0.001189
                     91,                 3.3312,                 1.8471,                 1.9005,                0.74808,                0.62334,                0.69643,                0.33127,                  3.688,                 2.0231,                 1.8649,                0.00109,                0.00109,                0.00109
                     92,                  3.303,                 1.8171,                 1.8889,                0.75236,                0.62334,                0.69697,                0.33151,                 3.6925,                 2.0152,                 1.8649,               0.000991,               0.000991,               0.000991
                     93,                 3.2866,                 1.7828,                 1.8908,                0.74502,                0.62696,                0.69606,                0.33211,                  3.689,                 2.0066,                 1.8652,               0.000892,               0.000892,               0.000892
                     94,                 3.2623,                   1.78,                 1.8876,                0.75058,                0.62712,                0.69735,                0.33285,                 3.6895,                 1.9987,                 1.8667,               0.000793,               0.000793,               0.000793
                     95,                 3.2444,                  1.756,                 1.8703,                0.75545,                0.62272,                0.69912,                0.33238,                 3.6944,                 1.9952,                 1.8676,               0.000694,               0.000694,               0.000694
                     96,                 3.2545,                 1.7267,                 1.8764,                0.75441,                0.62396,                0.69865,                0.33353,                 3.6931,                  1.992,                  1.868,               0.000595,               0.000595,               0.000595
                     97,                  3.219,                 1.7035,                 1.8735,                0.75414,                0.62735,                0.70047,                0.33488,                 3.6842,                 1.9974,                 1.8666,               0.000496,               0.000496,               0.000496
                     98,                 3.2011,                  1.716,                 1.8645,                0.74957,                 0.6326,                0.70101,                0.33489,                 3.6913,                 1.9885,                 1.8675,               0.000397,               0.000397,               0.000397
                     99,                 3.1935,                 1.6948,                  1.869,                0.74518,                 0.6347,                0.70038,                0.33448,                 3.6951,                 1.9875,                 1.8677,               0.000298,               0.000298,               0.000298
                    100,                 3.1923,                 1.7132,                 1.8634,                0.74548,                  0.636,                0.70111,                0.33467,                    3.7,                 1.9815,                  1.869,               0.000199,               0.000199,               0.000199
